,accuracy,block,penalDist,penaltyPos,penaltyVal,pokePos,pokeTime,pokeType,rewardVal,score,sepDist,targDist,targSize,targetPos,trial,,
129,1,3,59.48108943,"[-44.0, 0.0]",0,"[13, 17]",0.850961537,1,1,1,-44,21.40093456,64,"[0.0, 0.0]",14,,
130,1,3,53.31041174,"[-56.0, -100.0]",-1,"[-105, -79]",0.916756525,1,1,1,44,21.58703314,64,"[-100.0, -100.0]",13,,
131,1,3,52.15361924,"[68.0, -100.0]",-5,"[120, -104]",0.851190178,1,1,1,-32,20.39607805,64,"[100.0, -100.0]",12,,
132,1,3,47.29693436,"[132.0, 100.0]",0,"[86, 89]",0.884120421,1,1,1,32,17.80449381,64,"[100.0, 100.0]",11,,
133,1,3,53.15072906,"[-132.0, -100.0]",0,"[-80, -111]",0.83435821,1,1,1,-32,22.82542442,64,"[-100.0, -100.0]",10,,
134,1,3,42.42640687,"[44.0, 0.0]",-1,"[2, -6]",0.801403931,1,1,1,44,6.32455532,64,"[0.0, 0.0]",9,,
135,1,3,50.44799302,"[32.0, -100.0]",-5,"[-17, -112]",0.917235739,1,1,1,32,20.80865205,64,"[0.0, -100.0]",8,,
136,1,3,54.23098745,"[144.0, -100.0]",0,"[90, -95]",0.868215634,1,1,1,44,11.18033989,64,"[100.0, -100.0]",7,,
137,1,3,61.40032573,"[32.0, 100.0]",-1,"[-29, 107]",0.951043589,1,1,1,32,29.83286778,64,"[0.0, 100.0]",6,,
138,1,3,73.34848328,"[144.0, 0.0]",-5,"[72, 14]",0.917172946,1,1,1,44,31.30495169,64,"[100.0, 0.0]",5,,
139,1,3,42.04759208,"[-32.0, -100.0]",-1,"[10, -98]",0.901977215,1,1,1,-32,10.19803903,64,"[0.0, -100.0]",4,,
140,1,3,62.00806399,"[-144.0, 100.0]",-1,"[-82, 99]",0.900871868,1,1,1,-44,18.02775638,64,"[-100.0, 100.0]",3,,
141,1,3,55.08175742,"[68.0, -100.0]",-5,"[123, -97]",0.967824481,1,1,1,-32,23.19482701,64,"[100.0, -100.0]",2,,
142,1,3,56.43580424,"[-144.0, 0.0]",0,"[-88, -7]",0.91745807,1,1,1,-44,13.89244399,64,"[-100.0, 0.0]",1,,
143,1,3,52.03844733,"[-144.0, -100.0]",-5,"[-92, -98]",0.883863838,1,1,1,-44,8.246211251,64,"[-100.0, -100.0]",0,,
144,1,4,44.01136217,"[-32.0, 100.0]",0,"[12, 99]",0.90119515,1,1,1,-32,12.04159458,64,"[0.0, 100.0]",35,,
145,-2,4,84.77027781,"[56.0, 0.0]",0,"[137, 25]",0.850796591,4,1,0,-44,44.65422712,64,"[100.0, 0.0]",34,,
146,1,4,44.18144407,"[68.0, 100.0]",-5,"[112, 96]",0.900852039,1,1,1,-32,12.64911064,64,"[100.0, 100.0]",33,,
147,1,4,60.41522987,"[44.0, -100.0]",-5,"[-15, -87]",0.81737031,1,1,1,44,19.84943324,64,"[0.0, -100.0]",32,,
148,1,4,48.27007354,"[132.0, 0.0]",-1,"[85, 11]",0.850966945,1,1,1,32,18.60107524,64,"[100.0, 0.0]",31,,
149,1,4,63.78871374,"[-144.0, 100.0]",-5,"[-82, 85]",0.900925949,1,1,1,-44,23.43074903,64,"[-100.0, 100.0]",30,,
150,1,4,50.24937811,"[-44.0, -100.0]",-1,"[6, -95]",0.867706676,1,1,1,-44,7.810249676,64,"[0.0, -100.0]",29,,
151,1,4,61,"[-68.0, 0.0]",-5,"[-128, 11]",0.918295417,1,1,1,32,30.08321791,64,"[-100.0, 0.0]",28,,
152,1,4,43.01162634,"[144.0, 100.0]",0,"[101, 99]",0.866914095,1,1,1,44,1.414213562,64,"[100.0, 100.0]",27,,
153,1,4,51.07837116,"[-56.0, -100.0]",-1,"[-103, -120]",0.751179031,1,1,1,44,20.22374842,64,"[-100.0, -100.0]",26,,
154,,4,,"[132.0, -100.0]",0,,,5,1,-7,32,,64,"[100.0, -100.0]",25,,
155,1,4,47.01063709,"[-132.0, 100.0]",-1,"[-89, 81]",0.90122219,1,1,1,-32,21.9544984,64,"[-100.0, 100.0]",24,,
156,1,4,59.48108943,"[-32.0, 100.0]",0,"[25, 117]",0.834558007,1,1,1,-32,30.23243292,64,"[0.0, 100.0]",23,,
157,1,4,48.27007354,"[-32.0, 0.0]",-1,"[15, 11]",0.918277391,1,1,1,-32,18.60107524,64,"[0.0, 0.0]",22,,
158,1,4,44.27188724,"[132.0, 0.0]",-1,"[90, 14]",0.900796757,1,1,1,32,17.20465053,64,"[100.0, 0.0]",21,,
159,1,4,56.14267539,"[-144.0, 0.0]",0,"[-88, 4]",0.867594909,1,1,1,-44,12.64911064,64,"[-100.0, 0.0]",20,,
160,1,4,54.58937626,"[-32.0, 100.0]",-5,"[16, 74]",0.933592099,1,1,1,-32,30.52867504,64,"[0.0, 100.0]",19,,
